Timestamp,RA,DEC,AZ,ALT,Status,Slew Status
2026-07-30T14:26:30.011265,14.671384,+31.24496,084.71726,+41.28533,6,1#
2026-07-30T14:26:31.029123,15.368656,+29.71528,079.56559,+33.12549,6,1#
2026-07-30T14:26:32.063778,16.041567,+28.51716,074.33640,+25.49695,6,1#
2026-07-30T14:26:33.024834,16.417388,+28.67568,070.70659,+21.83851,6,1#
2026-07-30T14:26:34.039530,16.457735,+28.65388,070.35146,+21.42768,6,1#
2026-07-30T14:26:35.030237,16.455082,+28.62464,070.40237,+21.43744,6,1#
2026-07-30T14:26:36.090024,16.454150,+28.61109,070.42475,+21.44068,6,1#
2026-07-30T14:26:37.060557,16.453887,+28.60714,070.43291,+21.44335,6,1#
2026-07-30T14:26:38.082501,16.453796,+28.60578,070.43750,+21.44617,6,1#
2026-07-30T14:26:39.059259,16.453788,+28.60569,070.44019,+21.44889,6,1#
2026-07-30T14:26:40.044012,16.453805,+28.60579,070.44252,+21.45151,0,0#
2026-07-30T14:26:41.034912,16.453803,+28.60582,070.44507,+21.45428,0,0#
2026-07-30T14:26:42.027715,16.453805,+28.60591,070.44756,+21.45706,0,0#
2026-07-30T14:26:43.015305,16.453804,+28.60584,070.45018,+21.45974,0,0#
2026-07-30T14:26:44.005936,16.453800,+28.60584,070.45278,+21.46250,0,0#
2026-07-30T14:26:45.067036,16.453797,+28.60583,070.45558,+21.46545,0,0#
2026-07-30T14:26:46.053866,16.453805,+28.60582,070.45807,+21.46808,0,0#
2026-07-30T14:26:47.037801,16.453801,+28.60586,070.46064,+21.47086,0,0#
2026-07-30T14:26:48.078661,16.453802,+28.60586,070.46331,+21.47372,0,0#
2026-07-30T14:26:49.064382,16.453803,+28.60583,070.46589,+21.47641,0,0#
2026-07-30T14:26:50.049136,16.453803,+28.60584,070.46843,+21.47912,0,0#
2026-07-30T14:26:52.549707,16.453802,+28.60587,070.47491,+21.48605,0,0#
2026-07-30T14:26:53.543560,16.453803,+28.60582,070.47751,+21.48873,0,0#
2026-07-30T14:26:56.592923,16.453806,+28.60585,070.48538,+21.49714,0,0#
2026-07-30T14:26:57.639011,16.453805,+28.60583,070.48811,+21.50002,0,0#
2026-07-30T14:26:58.579947,16.469108,+28.67632,070.29110,+21.39758,6,1#
2026-07-30T14:26:59.572620,16.468567,+28.66063,070.31140,+21.39536,6,1#
2026-07-30T14:27:00.566339,16.476272,+28.68300,070.22420,+21.33668,6,1#
2026-07-30T14:27:01.569261,16.466978,+28.63036,070.35583,+21.39668,6,1#
2026-07-30T14:27:02.529082,16.465562,+28.61215,070.38611,+21.40125,6,1#
2026-07-30T14:27:03.511936,16.465220,+28.60544,070.39736,+21.40302,6,1#
2026-07-30T14:27:04.577938,16.465104,+28.60346,070.40280,+21.40581,6,1#
2026-07-30T14:27:05.553730,16.350306,+28.56272,071.50742,+22.52103,2,1#
2026-07-30T14:27:06.565450,15.870042,+27.87578,076.58874,+26.93018,2,1#
2026-07-30T14:27:13.024565,12.415668,+21.57369,128.13354,+57.44788,2,1#
